"species","commonname"
"Maesa brevipedicellata",""
"Maesa carolinensis",""
"Maesa indica",""
"Maesa insularis",""
"Maesa lanceolata","Mziranyama(haya); Ndiri (chaga); mgagere (pare); Likotipo(kisafwa); Mtele (shambaa); Mtandu(kihehe); munguti (kizungwa); iridwe (chagga); Langorwa (meru); mdidi (kichaga); Nguti (nyakyusa); Mtei(sambaa); Eredu (meru); Mriro(chagga); Tehi(sambaa); Mruwe(kiloma); mteli (sambaa); Langorua; Langorua (ki-arusha); Ikoti(hehe); Mgaghia(gweno); Mnguti(luguru); Mguti(hehe); mteli (nguru); Mdami (sambaa)"
"Maesa montana",""
"Maesa nemoralis",""
"Maesa palauensis",""
"Maesa paniculata",""
"Maesa permollis",""
"Maesa ramentacea",""
"Maesa reticulata",""
"Maesa tabacifolia",""
"Maesa tetrandra",""
"Maesa welwitschii",""
"Maesobotrya barteri","Monyegedi [mitsogho]"
"Maesobotrya bertramiana","Mobango à ghèghètó [mitsogo]"
"Maesobotrya cordulata",""
"Maesobotrya fallax",""
"Maesobotrya floribunda",""
"Maesobotrya griffoniana",""
"Maesobotrya klaineana","Moupinda [Masango dial.]"
"Maesobotrya longipes","Agnangbi [Fan]"
"Maesobotrya oligantha",""
"Maesobotrya pierlotii",""
"Maesobotrya purseglovei",""
"Maesobotrya pynaertii",""
"Maesobotrya staudtii","Monyegedi [mitsogho]"
"Maesobotrya vermeulenii",""
"Maesobotrya villosa",""
"Maesopsis eminii","Pó-suba; Pau-chuva; Musizi (English); Mougongonfi [Mpunu]; Mozanghé, Nkanguelé [Mitsogho, N.P. CFTT; Fang]; nganga [Nzebi]; Mozanghéa, Nkanguelé [Mitsogho, N.P. CTFT; Fang]; nKangéla [yaoundé]; Enkale [fang]; Muhumula; Muhumula (Muhumula) and Musisi (Luganda)"
"Magnistipula bimarsupiata","Akoghe Medzim [fang]"
"Magnistipula butayei","Mkuja(Bende); Mweleloa(kimbu)"
"Magnistipula cerebriformis",""
"Magnistipula conrauana",""
"Magnistipula cuneatifolia",""
"Magnistipula cupheiflora",""
"Magnistipula devriesii",""
"Magnistipula glaberrima",""
"Magnistipula multinervia",""
"Magnistipula tamenaka",""
"Magnistipula tessmannii",""
"Magnistipula zenkeri",""
"Magnolia acuminata","Cucumber-tree; cucumber tree; cucumber-tree; cucumber magnolia; Mountain Magnolia; Cucumber Tree"
"Magnolia albosericea",""
"Magnolia amazonica",""
"Magnolia amoena",""
"Magnolia angatensis",""
"Magnolia angustioblonga",""
"Magnolia arcabucoana",""
"Magnolia argyrothricha",""
"Magnolia aromatica",""
"Magnolia ashtonii",""
"Magnolia baillonii",""
"Magnolia balansae",""
"Magnolia bankardiorum",""
"Magnolia betongensis",""
"Magnolia bintuluensis",""
"Magnolia biondii",""
"Magnolia blaoensis",""
"Magnolia boliviana",""
"Magnolia borneensis",""
"Magnolia brasiliensis",""
"Magnolia calimaensis",""
"Magnolia calophylla",""
"Magnolia calophylloides",""
"Magnolia campbellii",""
"Magnolia caricifragrans",""
"Magnolia carsonii",""
"Magnolia cathcartii",""
"Magnolia cavaleriei",""
"Magnolia caveana",""
"Magnolia cespedesii",""
"Magnolia champaca","champac"
"Magnolia championii",""
"Magnolia chapensis",""
"Magnolia chiguila",""
"Magnolia chiriquiensis",""
"Magnolia chocoensis","Molinillo; Molinillo | Copachi"
"Magnolia citrata",""
"Magnolia cochranei",""
"Magnolia coco",""
"Magnolia colombiana",""
"Magnolia compressa","オガタマノキ"
"Magnolia conifera",""
"Magnolia coriacea",""
"Magnolia costaricensis",""
"Magnolia crassipes",""
"Magnolia cubensis",""
"Magnolia cylindrica",""
"Magnolia dandyi",""
"Magnolia dawsoniana",""
"Magnolia dealbata","Yoloxochilt de flor grande, Yolosochil, Ya-nacho yote, Ita ndixi, palo de flores de elote, guia-lachi (Zapoteco), guie-zehe (Zapoteco), magnolia, quije-zehe (Zapoteco), yo-zaba (Zapoteco); magnolia, guia-lachi (Zapoteco), guie-zehe (Zapoteco), magnolia, quije-zehe (Zapoteco), yo-zaba (Zapoteco); guia-lachi (Zapoteco), guie-zehe (Zapoteco), magnolia, quije-zehe (Zapoteco), yo-zaba (Zapoteco)"
"Magnolia delavayi",""
"Magnolia denudata","yulan; lily tree; ハクモクレン; lilytree; Магнолия; 백목련"
"Magnolia dodecapetala",""
"Magnolia doltsopa",""
"Magnolia duclouxii",""
"Magnolia duperreana",""
"Magnolia ekmanii",""
"Magnolia elegans",""
"Magnolia emarginata",""
"Magnolia enepeceana",""
"Magnolia equatorialis",""
"Magnolia ernestii",""
"Magnolia espinalii",""
"Magnolia faustinomirandae",""
"Magnolia figlarii",""
"Magnolia fistulosa",""
"Magnolia flaviflora",""
"Magnolia floribunda",""
"Magnolia fordiana",""
"Magnolia foveolata",""
"Magnolia fraseri","magnolia; Mountain Magnolia"
"Magnolia fujianensis",""
"Magnolia fulva",""
"Magnolia garrettii",""
"Magnolia gentryi",""
"Magnolia georgii","Cucharo"
"Magnolia gigantifolia",""
"Magnolia gilbertoi",""
"Magnolia globosa",""
"Magnolia gloriensis",""
"Magnolia grandiflora","Southern Magnolia; laurel magnolia; Flor de magnolia, Margnolia, Magnolia, flor de magnolia, magnolia, palo de cacique, yoloxóchitl; Southern magnolia; magnolia, flor de magnolia, magnolia, palo de cacique, yoloxóchitl; southern magnolia; Magnolia blanca; bull-bay;laurier tulipier;southern magnolia; flor de magnolia, magnolia, palo de cacique, yoloxóchitl; Magnolio | Magnolia | Magnolia Blanca"
"Magnolia grandis",""
"Magnolia griffithii",""
"Magnolia guangxiensis",""
"Magnolia guatemalensis",""
"Magnolia hamorii",""
"Magnolia henaoi",""
"Magnolia henryi",""
"Magnolia hernandezii","Molinillo"
"Magnolia hodgsonii",""
"Magnolia hookeri",""
"Magnolia hypolampra",""
"Magnolia iltisiana","cacao, cacao, laurel, magnolia, yoloxóchitl; cacao, laurel, magnolia, yoloxóchitl"
"Magnolia inbioana",""
"Magnolia insignis",""
"Magnolia irwiniana",""
"Magnolia jaenensis",""
"Magnolia jardinensis","gallinazo blanco"
"Magnolia juninensis",""
"Magnolia kachirachirai",""
"Magnolia katiorum",""
"Magnolia kichuana",""
"Magnolia kisopa",""
"Magnolia kobus","コブシ; キタコブシ"
"Magnolia koordersiana",""
"Magnolia krusei","Yoloxochitl, Yolosuchil, Iolosuchil"
"Magnolia kwangsiensis",""
"Magnolia kwangtungensis",""
"Magnolia lacandonica",""
"Magnolia lacei",""
"Magnolia laevifolia","Yun Nan Han Xiao"
"Magnolia lanuginosa",""
"Magnolia lanuginosoides",""
"Magnolia lasia","Talal umar"
"Magnolia lenticellata",""
"Magnolia leveilleana",""
"Magnolia liliifera",""
"Magnolia lopezobradorii",""
"Magnolia lotungensis",""
"Magnolia lozanoi",""
"Magnolia lucida",""
"Magnolia macclurei",""
"Magnolia macklottii",""
"Magnolia macrophylla","bigleaf magnolia; Bigleaf Magnolia"
"Magnolia madidiensis",""
"Magnolia manguillo",""
"Magnolia manuensis",""
"Magnolia mariusjacobsia",""
"Magnolia martini","Магнолия"
"Magnolia mashpi",""
"Magnolia maudiae",""
"Magnolia mayae",""
"Magnolia mediocris",""
"Magnolia mercedesiarum",""
"Magnolia mexicana","Tajchak, Sochil moyñacoy, Tajchk, Yoloxochitl, Yolosuchil, Yolo, K'u ti', Jolmashté, cuhui-xana, Mooynial cuy, Cabeza de mico, anonillo, chocoijoyo (Zoque), flor del corazón, guia-lacha-yati (Zapoteco), guielachi-yati (Zapoteco), jolmashté (Tseltal), laurel, laurel tulipán, magnolia, pirinola, quije-lachi-yati (Zapoteco), tajchak (Lacandón), tulipán, yo-lachi (Zapoteco), yoloxóchitl; cacao, anonillo, chocoijoyo (Zoque), flor del corazón, guia-lacha-yati (Zapoteco), guielachi-yati (Zapoteco), jolmashté (Tseltal), laurel, laurel tulipán, magnolia, pirinola, quije-lachi-yati (Zapoteco), tajchak (Lacandón), tulipán, yo-lachi (Zapoteco), yoloxóchitl; anonillo, chocoijoyo (Zoque), flor del corazón, guia-lacha-yati (Zapoteco), guielachi-yati (Zapoteco), jolmashté (Tseltal), laurel, laurel tulipán, magnolia, pirinola, quije-lachi-yati (Zapoteco), tajchak (Lacandón), tulipán, yo-lachi (Zapoteco), yoloxóchitl; flor de corazón, anonillo, chocoijoyo (Zoque), flor del corazón, guia-lacha-yati (Zapoteco), guielachi-yati (Zapoteco), jolmashté (Tseltal), laurel, laurel tulipán, magnolia, pirinola, quije-lachi-yati (Zapoteco), tajchak (Lacandón), tulipán, yo-lachi (Zapoteco), yoloxóchitl; yaga gueaj zdj, árbol de flor, magnolia, magnolia, anonillo, chocoijoyo (Zoque), flor del corazón, guia-lacha-yati (Zapoteco), guielachi-yati (Zapoteco), jolmashté (Tseltal), laurel, laurel tulipán, magnolia, pirinola, quije-lachi-yati (Zapoteco), tajchak (Lacandón), tulipán, yo-lachi (Zapoteco), yoloxóchitl"
"Magnolia mindoensis",""
"Magnolia minor",""
"Magnolia montana",""
"Magnolia montebelloensis",""
"Magnolia morii",""
"Magnolia multinervia",""
"Magnolia napoensis",""
"Magnolia neillii",""
"Magnolia neomagnifolia",""
"Magnolia nilagirica",""
"Magnolia nitida",""
"Magnolia nuevoleonensis",""
"Magnolia obovata","ホオノキ; 일본목련; Магнолия обратнояйцевидная"
"Magnolia odora",""
"Magnolia officinalis","Magnolia bark"
"Magnolia opipara",""
"Magnolia ovata",""
"Magnolia pacifica","Corpo-corpo, Corpus"
"Magnolia palandana",""
"Magnolia pallescens",""
"Magnolia paranaensis",""
"Magnolia pastazaensis",""
"Magnolia patungensis",""
"Magnolia perezfarrerae",""
"Magnolia persuaveolens",""
"Magnolia peruviana",""
"Magnolia philippinensis",""
"Magnolia pleiocarpa",""
"Magnolia poasana",""
"Magnolia polyhypsophylla","Almanegra"
"Magnolia portoricensis",""
"Magnolia praecalva",""
"Magnolia ptaritepuiana",""
"Magnolia pterocarpa",""
"Magnolia pubescens",""
"Magnolia pugana",""
"Magnolia quetzal",""
"Magnolia rabaniana",""
"Magnolia rajaniana",""
"Magnolia resupinatifolia","Hojarasco; Amarillo Guanábano, Hojarasco"
"Magnolia reynelii",""
"Magnolia rimachii",""
"Magnolia rostrata",""
"Magnolia rufibarbata",""
"Magnolia salicifolia","タムシバ"
"Magnolia sambuensis","Bolenillo; Amarillo Chirimoyo"
"Magnolia santanderiana",""
"Magnolia sargentiana",""
"Magnolia savegrensis",""
"Magnolia schiedeana","magnolia, che (Maya), corpus, elo-xóchitl (Náhuatl), magnolia, palo de cacique, quie-lachi (Zapoteco), yaga-zaha (Zapoteco); Rojo monte aguacate, Xolosuxhil, Negro montés, Magnolio, Magonolia, aguacota, che (Maya), corpus, elo-xóchitl (Náhuatl), magnolia, palo de cacique, quie-lachi (Zapoteco), yaga-zaha (Zapoteco); che (Maya), corpus, elo-xóchitl (Náhuatl), magnolia, palo de cacique, quie-lachi (Zapoteco), yaga-zaha (Zapoteco); higuera, che (Maya), corpus, elo-xóchitl (Náhuatl), magnolia, palo de cacique, quie-lachi (Zapoteco), yaga-zaha (Zapoteco)"
"Magnolia scortechinii",""
"Magnolia sellowiana",""
"Magnolia sharpii","Tajchac, Tajchk, tojchó, magnolia, tajchac (Tseltal), tojchó (Tseltal); tajchac, magnolia, tojchó, magnolia, tajchac (Tseltal), tojchó (Tseltal)"
"Magnolia shiluensis",""
"Magnolia shuariorum",""
"Magnolia siamensis",""
"Magnolia sieboldii","buskmagnolia; 함박꽃나무; オオヤマレンゲ; Ham-bak-kkot-na-mu"
"Magnolia silvioi","Guanabanadillo"
"Magnolia sinacacolinii",""
"Magnolia singapurensis",""
"Magnolia sinica",""
"Magnolia sororum",""
"Magnolia sphaerantha",""
"Magnolia splendens",""
"Magnolia sprengeri",""
"Magnolia stellata","stjärnmagnolia; Star Magnolia; star magnolia"
"Magnolia striatifolia",""
"Magnolia sulawesiana",""
"Magnolia sumatrae",""
"Magnolia sumatrana",""
"Magnolia talamancana",""
"Magnolia tamaulipana",""
"Magnolia tarahumara",""
"Magnolia thailandica",""
"Magnolia tripetala","umbrella-tree; umbrella magnolia; umbrella magnolia, umbrella tree; Umbrella magnolia"
"Magnolia tsiampacca",""
"Magnolia urraoensis",""
"Magnolia utilis",""
"Magnolia vargasiana",""
"Magnolia vazquezii",""
"Magnolia veliziana",""
"Magnolia venezuelensis",""
"Magnolia ventii",""
"Magnolia villosa",""
"Magnolia virginiana","Swamp Laurel; Sweet-bay magnolia; sweetbay; Sweetbay Magnolia; sweetbay magnolia; Sweetbay magnolia"
"Magnolia virolinensis",""
"Magnolia vovidesii",""
"Magnolia vrieseana",""
"Magnolia wendtii",""
"Magnolia wetteri",""
"Magnolia wilsonii",""
"Magnolia wolfii",""
"Magnolia yantzazana",""
"Magnolia yarumalensis","Almanegra; gallinazo morado"
"Magnolia yoroconte",""
"Magnolia yunnanensis","국명미지정"
"Magnolia yuyuanensis",""
"Magnolia zamorana",""
"Magnolia zenii",""
"Magnolia zoquepopolucae",""
"Magodendron mennyae",""
"Magodendron venefici",""
"Magonia pubescens",""
"Mahonia bealei","kinesisk mahonia; Beale's Oregon-grape"
"Mahonia napaulensis",""
"Mahonia oiwakensis",""
"Mahurea exstipulata",""
"Mahurea palustris",""
"Maillardia borbonica",""
"Maillardia montana",""
"Majidea zanguebarica","Mkambaku(Gogo)"
"Malagasia alticola",""
"Malania oleifera",""
"Malleastrum antsingyense",""
"Malleastrum depauperatum",""
"Malleastrum leroyi",""
"Malleastrum letouzeyanum",""
"Malleastrum mandenense",""
"Malleastrum obtusifolium",""
"Malleastrum pseudodepauperatum",""
"Malleastrum sambiranense",""
"Malleastrum sepaliferum",""
"Malleastrum tampolense",""
"Mallotus actinoneurus",""
"Mallotus apelta",""
"Mallotus barbatus",""
"Mallotus blumeanus",""
"Mallotus brevipetiolatus",""
"Mallotus calocarpus",""
"Mallotus caudatus",""
"Mallotus chromocarpus",""
"Mallotus claoxyloides","Green Kamala"
"Mallotus connatus",""
"Mallotus cumingii",""
"Mallotus darbyshirei",""
"Mallotus didymochryseus",""
"Mallotus discolor","White Kamala"
"Mallotus dispar",""
"Mallotus dispersus","Mallotus"
"Mallotus eriocarpus",""
"Mallotus eximius",""
"Mallotus ficifolius",""
"Mallotus floribundus",""
"Mallotus fuscescens",""
"Mallotus garrettii",""
"Mallotus glabriusculus",""
"Mallotus havilandii",""
"Mallotus hymenophyllus",""
"Mallotus illudens",""
"Mallotus insularum",""
"Mallotus khasianus",""
"Mallotus kongkandae",""
"Mallotus korthalsii",""
"Mallotus lackeyi",""
"Mallotus lanceolatus",""
"Mallotus lancifolius",""
"Mallotus lauterbachianus",""
"Mallotus leptostachyus",""
"Mallotus leucocalyx",""
"Mallotus leucodermis",""
"Mallotus lianus",""
"Mallotus longinervis",""
"Mallotus macrostachyus",""
"Mallotus megadontus",""
"Mallotus metcalfianus",""
"Mallotus minimifructus",""
"Mallotus miquelianus",""
"Mallotus mollissimus","Kamala"
"Mallotus monanthos",""
"Mallotus montanus",""
"Mallotus muticus",""
"Mallotus nepalensis",""
"Mallotus nesophilus","Mallotus"
"Mallotus nudiflorus",""
"Mallotus oppositifolius","nganda [Bk]; Meguinim [Zime]; yati; Mbenang,ombe-Rufiji; Kinang'anambela(Rufiji)"
"Mallotus oreophilus",""
"Mallotus pallidus",""
"Mallotus paniculatus","Turn-in-the-wind; Маллотус метельчатый"
"Mallotus peltatus","Маллотус"
"Mallotus philippensis","Red Kamala"
"Mallotus pleiogynus",""
"Mallotus plicatus",""
"Mallotus polyadenos","Kamala"
"Mallotus puber",""
"Mallotus repandus",""
"Mallotus resinosus",""
"Mallotus rhamnifolius",""
"Mallotus roxburghianus",""
"Mallotus rufidulus",""
"Mallotus sphaerocarpus",""
"Mallotus spinifructus",""
"Mallotus subcuneatus",""
"Mallotus sumatranus",""
"Mallotus surculosus",""
"Mallotus taoyuanensis",""
"Mallotus tetracoccus",""
"Mallotus thorelii",""
"Mallotus tiliifolius",""
"Mallotus trinervius",""
"Mallotus wrayi",""
"Malmea dielsiana",""
"Malmea dimera",""
"Malmea guianensis",""
"Malmea manausensis",""
"Malmea obovata",""
"Malmea surinamensis",""
"Malmeanthus subintegerrimus",""
"Malosma laurina","Lentis; lentisco"
"Malouetia amazonica",""
"Malouetia amplexicaulis",""
"Malouetia bubalina",""
"Malouetia calva",""
"Malouetia cestroides",""
"Malouetia duckei",""
"Malouetia flavescens",""
"Malouetia glandulifera",""
"Malouetia gracillima",""
"Malouetia grandiflora",""
"Malouetia guatemalensis","Cachito, Masico bravo, Huevo de mico, Cojotón; Plátano; Sin nombre comun; Lirio blanco"
"Malouetia heudelotii",""
"Malouetia killipii",""
"Malouetia lata",""
"Malouetia mildbraedii","Tchamiayoko [mitsogho]"
"Malouetia naias","Cuchara caspi | Cullera | Guachamaca | Molongó | Molongo | pom-ka\\ (Puinave) | yau-wa-hau\\-ka-kee (Kubeo) | Cuchara capsi (Ticuna)"
"Malouetia nitida",""
"Malouetia pubescens",""
"Malouetia quadricasarum","Helecho madroñito"
"Malouetia tamaquarina",""
"Malouetia virescens",""
"Malpighia albiflora",""
"Malpighia cnide",""
"Malpighia emarginata","Sidra, Wayate, Wayakté, Wayak'te, Uste, V. grenadilla, Uayalté, Xguayactc, Xkabakaax, Cereza negra, Cimbrillo, Guayacate, Cumbrillo, Guayacte, Grenadillo, Grenadia, Kau sikro´opo, Manzanito, Manzanita, aak' iits (Maya), cereza, escobillo, granadilla, manzanillo, manzanita, mora del campo, nance (Maya), palo chino, palo de lumbre, sak-pah (Maya), tomatillo, usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-balché (Maya), x-bek-ché (Maya); granadilla, aak' iits (Maya), cereza, escobillo, granadilla, manzanillo, manzanita, mora del campo, nance (Maya), palo chino, palo de lumbre, sak-pah (Maya), tomatillo, usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-balché (Maya), x-bek-ché (Maya); aak' iits (Maya), cereza, escobillo, granadilla, manzanillo, manzanita, mora del campo, nance (Maya), palo chino, palo de lumbre, sak-pah (Maya), tomatillo, usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-balché (Maya), x-bek-ché (Maya); Cerezo; Susuruca; Cereza; West indian cherry"
"Malpighia fucata",""
"Malpighia glabra","béek che' (Maya), capulincillo, capulín, capulín de tuza real, cereza, cereza del país patrones, cerezo, chi (Maya), chi' (Maya), escobillo, escobo blanco, guayabillo, k'an-ibin-che (Maya), kaanil bin che' (Maya), lcuiat-quihuí (Totonaco), lkuiatkihui (Totonaco), lkuyatkihui (Totonaco), manzanillo, manzanita, nance (Maya), nance de monte, nancén, palo de lumbre, sak-pah (Maya), sip che' (Maya), sipche' (Maya), tomatillo, uste' (Maya), usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-bek-ché (Maya); Sipi-che', Siipche', Residon cimarrón, Supché, Tintal, Tzipiche, Tzajal nich, Ubojo xinich, Yegalan, Zapote domingo, K'ak'al ilaal, Cangrena, Capulincillo, Capilincillo, Chict, Escoba blanca, Nanche rojo, Nachut-tucum, Ceresillo, Cerecillo, Cherry, Bek'che', Cafetillo, Olmito, béek che' (Maya), capulincillo, capulín, capulín de tuza real, cereza, cereza del país patrones, cerezo, chi (Maya), chi' (Maya), escobillo, escobo blanco, guayabillo, k'an-ibin-che (Maya), kaanil bin che' (Maya), lcuiat-quihuí (Totonaco), lkuiatkihui (Totonaco), lkuyatkihui (Totonaco), manzanillo, manzanita, nance (Maya), nance de monte, nancén, palo de lumbre, sak-pah (Maya), sip che' (Maya), sipche' (Maya), tomatillo, uste' (Maya), usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-bek-ché (Maya); Wayak'te, Wayakté, béek che' (Maya), capulincillo, capulín, capulín de tuza real, cereza, cereza del país patrones, cerezo, chi (Maya), chi' (Maya), escobillo, escobo blanco, guayabillo, k'an-ibin-che (Maya), kaanil bin che' (Maya), lcuiat-quihuí (Totonaco), lkuiatkihui (Totonaco), lkuyatkihui (Totonaco), manzanillo, manzanita, nance (Maya), nance de monte, nancén, palo de lumbre, sak-pah (Maya), sip che' (Maya), sipche' (Maya), tomatillo, uste' (Maya), usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-bek-ché (Maya); Cerezo; Cerezo de monte; nanche rojo, béek che' (Maya), capulincillo, capulín, capulín de tuza real, cereza, cereza del país patrones, cerezo, chi (Maya), chi' (Maya), escobillo, escobo blanco, guayabillo, k'an-ibin-che (Maya), kaanil bin che' (Maya), lcuiat-quihuí (Totonaco), lkuiatkihui (Totonaco), lkuyatkihui (Totonaco), manzanillo, manzanita, nance (Maya), nance de monte, nancén, palo de lumbre, sak-pah (Maya), sip che' (Maya), sipche' (Maya), tomatillo, uste' (Maya), usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-bek-ché (Maya); cereza del país patrones, guaxocotes, capulín de tuza real, palo de lumbre, sak-pah, sipche', lcuiat-quihuí, lkuyatkihui, lkuiatkihui, nance, nancenes, ahuaxólcotl, ahualxócotl, tomatillo, k'an-ibin-che, huacacote, chi, boxuayalté, cipché, cereza, canabin-ché, escobo blanco, guayacté, guayabillo, capulín, capulincillo, manzanita, escobillo, béek che' (Maya), capulincillo, capulín, capulín de tuza real, cereza, cereza del país patrones, cerezo, chi (Maya), chi' (Maya), escobillo, escobo blanco, guayabillo, k'an-ibin-che (Maya), kaanil bin che' (Maya), lcuiat-quihuí (Totonaco), lkuiatkihui (Totonaco), lkuyatkihui (Totonaco), manzanillo, manzanita, nance (Maya), nance de monte, nancén, palo de lumbre, sak-pah (Maya), sip che' (Maya), sipche' (Maya), tomatillo, uste' (Maya), usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-bek-ché (Maya); Chande perro; Ceresito; Cerecito; Malpighia Glabra; Huesito | Cuezo; Sangre de perro | Mirto | Pinchindé Hembra | Cerezo | Cerecito; capulincillo, béek che' (Maya), capulincillo, capulín, capulín de tuza real, cereza, cereza del país patrones, cerezo, chi (Maya), chi' (Maya), escobillo, escobo blanco, guayabillo, k'an-ibin-che (Maya), kaanil bin che' (Maya), lcuiat-quihuí (Totonaco), lkuiatkihui (Totonaco), lkuyatkihui (Totonaco), manzanillo, manzanita, nance (Maya), nance de monte, nancén, palo de lumbre, sak-pah (Maya), sip che' (Maya), sipche' (Maya), tomatillo, uste' (Maya), usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-bek-ché (Maya); chi'; nanche, béek che' (Maya), capulincillo, capulín, capulín de tuza real, cereza, cereza del país patrones, cerezo, chi (Maya), chi' (Maya), escobillo, escobo blanco, guayabillo, k'an-ibin-che (Maya), kaanil bin che' (Maya), lcuiat-quihuí (Totonaco), lkuiatkihui (Totonaco), lkuyatkihui (Totonaco), manzanillo, manzanita, nance (Maya), nance de monte, nancén, palo de lumbre, sak-pah (Maya), sip che' (Maya), sipche' (Maya), tomatillo, uste' (Maya), usté (Maya), uxtip (Maya), uzté (Maya), wayate' (Maya), x-bek-ché (Maya)"
